LAT,LON,YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,RH2M,T2M_MAX,T2M_MIN
2.5,-72.5,2022,1,1,6.82,6.34,87.41,29.73,22.99
3.5,-72.5,2022,1,1,6.7,5.95,64.15,34.88,23.49
4.5,-72.5,2022,1,1,6.57,5.78,44.33,36.07,25.62
5.5,-72.5,2022,1,1,6.68,5.5,68.82,24.74,15.78
6.5,-72.5,2022,1,1,6.7,4.82,78.73,17.97,7.96
2.5,-72.5,2022,1,2,6.89,6.4,86.34,29.81,20.97
3.5,-72.5,2022,1,2,6.78,6.35,59.08,35.3,20.58
4.5,-72.5,2022,1,2,6.7,5.98,44.01,37.59,23.15
5.5,-72.5,2022,1,2,6.78,6.22,61.26,26.39,13.53
6.5,-72.5,2022,1,2,6.76,5.98,73.66,19.73,3.82
2.5,-72.5,2022,1,3,7.03,6.57,85.11,29.17,20.3
3.5,-72.5,2022,1,3,6.89,6.39,55.18,34.84,20.45
4.5,-72.5,2022,1,3,6.82,6.63,42.3,37.08,23.19
5.5,-72.5,2022,1,3,6.99,6.78,60.99,26.72,13.78
6.5,-72.5,2022,1,3,7.02,6.53,70.39,19.49,4.97
2.5,-72.5,2022,1,4,7.19,6.92,84.56,29.43,20.92
3.5,-72.5,2022,1,4,7.01,6.65,54.14,35.21,21.54
4.5,-72.5,2022,1,4,6.89,6.17,40.14,37.71,23.72
5.5,-72.5,2022,1,4,7.01,6.36,62.81,26.18,12.27
6.5,-72.5,2022,1,4,7.03,6.42,75.48,19.46,4.39
2.5,-72.5,2022,1,5,7.11,6.99,81.85,29.12,21.78
3.5,-72.5,2022,1,5,6.96,6.83,50.46,35.2,21.66
4.5,-72.5,2022,1,5,6.88,6.54,36.76,37.42,23.86
5.5,-72.5,2022,1,5,7.07,6.31,55.7,26.2,12.55
6.5,-72.5,2022,1,5,7.08,6.46,67.32,19.59,2.66
2.5,-72.5,2022,1,6,7.07,6.45,83.89,29.26,21.66
3.5,-72.5,2022,1,6,6.96,6.37,59.09,35.43,21.2
4.5,-72.5,2022,1,6,6.95,6.63,37.98,37.84,23.34
5.5,-72.5,2022,1,6,7.12,6.61,59.89,24.88,14.0
6.5,-72.5,2022,1,6,7.09,6.4,74.69,18.89,4.22
2.5,-72.5,2022,1,7,6.77,6.04,84.49,29.41,21.99
3.5,-72.5,2022,1,7,6.72,5.99,65.82,35.44,23.11
4.5,-72.5,2022,1,7,6.74,6.31,38.97,37.75,24.71
5.5,-72.5,2022,1,7,6.73,5.6,60.34,24.85,15.63
6.5,-72.5,2022,1,7,6.64,3.98,77.23,18.46,7.1
2.5,-72.5,2022,1,8,6.63,6.11,85.53,30.48,22.85
3.5,-72.5,2022,1,8,6.53,6.19,61.03,36.35,23.0
4.5,-72.5,2022,1,8,6.44,6.02,37.36,38.95,25.44
5.5,-72.5,2022,1,8,6.56,5.1,58.23,28.01,15.76
6.5,-72.5,2022,1,8,6.47,3.89,76.2,19.66,7.58
2.5,-72.5,2022,1,9,6.67,5.84,84.33,28.1,22.46
3.5,-72.5,2022,1,9,6.56,5.42,55.12,33.62,23.86
4.5,-72.5,2022,1,9,6.62,4.47,37.63,36.59,27.4
5.5,-72.5,2022,1,9,6.93,4.55,62.23,24.79,15.23
6.5,-72.5,2022,1,9,6.57,4.51,76.6,19.43,7.41
2.5,-72.5,2022,1,10,6.8,5.76,85.82,29.11,20.74
3.5,-72.5,2022,1,10,6.69,5.04,56.97,34.24,21.8
4.5,-72.5,2022,1,10,6.59,4.87,39.37,36.31,25.32
5.5,-72.5,2022,1,10,6.72,4.33,65.96,24.09,15.47
6.5,-72.5,2022,1,10,6.85,4.38,75.26,19.26,7.16
2.5,-72.5,2022,1,11,6.68,5.41,87.16,29.57,21.39
3.5,-72.5,2022,1,11,6.58,5.32,58.91,35.0,22.83
4.5,-72.5,2022,1,11,6.47,4.35,38.66,37.68,26.15
5.5,-72.5,2022,1,11,6.6,3.3,65.47,25.85,15.65
6.5,-72.5,2022,1,11,6.65,3.68,76.65,19.51,9.08
2.5,-72.5,2022,1,12,6.68,6.02,88.19,29.61,22.12
3.5,-72.5,2022,1,12,6.58,5.92,60.47,35.34,23.42
4.5,-72.5,2022,1,12,6.51,5.49,36.15,36.95,27.49
5.5,-72.5,2022,1,12,6.66,3.62,65.79,24.38,15.62
6.5,-72.5,2022,1,12,6.66,4.08,79.12,19.41,9.35
2.5,-72.5,2022,1,13,6.63,5.08,90.26,28.4,23.11
3.5,-72.5,2022,1,13,6.54,4.79,67.0,32.54,23.98
4.5,-72.5,2022,1,13,6.51,5.26,45.29,34.73,25.99
5.5,-72.5,2022,1,13,6.68,4.09,69.64,23.82,16.68
6.5,-72.5,2022,1,13,6.75,4.03,81.17,18.39,9.68
2.5,-72.5,2022,1,14,6.64,5.34,88.42,29.41,22.11
3.5,-72.5,2022,1,14,6.56,4.73,71.22,34.16,23.03
4.5,-72.5,2022,1,14,6.44,4.93,50.35,37.22,24.23
5.5,-72.5,2022,1,14,6.58,4.54,71.11,24.82,16.6
6.5,-72.5,2022,1,14,6.59,4.27,83.76,16.49,8.85
2.5,-72.5,2022,1,15,6.6,4.57,92.07,26.27,22.76
3.5,-72.5,2022,1,15,6.56,4.47,75.9,31.96,23.46
4.5,-72.5,2022,1,15,6.47,4.98,48.94,36.0,25.93
5.5,-72.5,2022,1,15,6.68,5.0,63.94,26.03,15.2
6.5,-72.5,2022,1,15,6.79,4.88,77.85,18.19,7.0
2.5,-72.5,2022,1,16,6.63,3.82,91.24,28.57,22.07
3.5,-72.5,2022,1,16,6.55,4.0,79.53,31.25,23.09
4.5,-72.5,2022,1,16,6.5,4.35,63.59,34.07,24.88
5.5,-72.5,2022,1,16,6.68,4.21,73.74,25.1,17.15
6.5,-72.5,2022,1,16,6.87,4.52,80.26,18.3,8.89
2.5,-72.5,2022,1,17,6.66,5.43,90.41,29.32,22.75
3.5,-72.5,2022,1,17,6.61,4.83,81.87,31.02,23.25
4.5,-72.5,2022,1,17,6.45,5.01,76.22,31.08,23.94
5.5,-72.5,2022,1,17,6.64,4.64,85.3,23.49,16.37
6.5,-72.5,2022,1,17,6.69,4.14,82.43,18.87,8.97
2.5,-72.5,2022,1,18,6.66,4.36,92.9,27.46,22.41
3.5,-72.5,2022,1,18,6.61,3.62,79.56,30.74,22.96
4.5,-72.5,2022,1,18,6.42,3.6,70.68,32.83,24.39
5.5,-72.5,2022,1,18,6.59,3.46,80.52,24.22,16.19
6.5,-72.5,2022,1,18,6.74,4.11,81.51,18.61,8.57
2.5,-72.5,2022,1,19,6.85,5.78,86.21,29.12,23.01
3.5,-72.5,2022,1,19,6.81,5.76,70.53,33.54,22.88
4.5,-72.5,2022,1,19,6.78,5.9,59.77,36.0,23.15
5.5,-72.5,2022,1,19,7.0,5.42,71.54,25.67,15.62
6.5,-72.5,2022,1,19,6.99,4.95,77.26,19.0,8.86
2.5,-72.5,2022,1,20,6.77,4.65,84.28,29.1,22.14
3.5,-72.5,2022,1,20,6.73,4.69,72.49,32.41,22.26
4.5,-72.5,2022,1,20,6.79,5.23,61.51,34.99,22.71
